id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0687,PRED,-76.912,23.625,46.833,79.088,19.625,45.833,-7.912,-37.375,57.833,7.088,-36.375,57.833,-38.912,-38.475,-15.267,34.088,-38.475,-13.267,-29.912,20.525,-48.267,30.088,21.525,-48.267
s0687,GT,-79.040,28.734,43.038,78.860,19.734,47.938,-17.040,-33.266,60.038,6.960,-36.266,61.038,-34.040,-36.266,-10.162,32.960,-37.266,-8.162,-31.040,20.734,-47.162,32.960,15.734,-47.162
s0737,PRED,-72.129,16.704,53.419,68.871,16.704,53.419,-20.229,-52.296,37.319,11.771,-56.296,41.319,-1.129,-9.296,-54.781,44.871,-33.296,-17.781,-33.129,35.704,-36.781,32.871,30.704,-41.781
s0774,PRED,-80.629,15.935,45.385,74.371,4.935,47.385,-18.729,-49.065,44.285,6.271,-52.065,45.285,-36.629,-27.065,-16.815,32.371,-32.065,-20.815,-24.629,29.935,-41.815,34.371,27.935,-40.815
s0737,GT,-66.008,3.942,55.674,69.992,9.942,55.674,-8.908,-56.058,43.574,9.892,-54.058,45.574,-40.008,-36.058,-18.526,47.992,-33.058,-18.526,-33.008,29.942,-40.526,34.992,29.942,-42.526
s0763,PRED,-66.610,14.845,48.987,76.290,9.845,46.087,-8.710,-48.155,46.087,17.290,-48.155,46.087,-35.710,-25.155,-17.113,32.290,-31.155,-22.113,-28.710,28.845,-41.113,24.290,29.845,-44.113
s0726,PRED,-85.093,1.480,50.242,79.907,6.480,51.242,-8.993,-49.520,45.142,11.007,-49.520,44.142,-39.093,-32.520,-19.958,41.907,-32.520,-19.958,-38.093,30.480,-40.958,26.907,33.480,-41.958
s0772,PRED,-79.921,23.644,50.762,78.979,23.644,53.662,-13.921,-45.356,53.762,7.079,-45.356,53.762,-29.921,-38.356,-24.438,32.079,-37.356,-24.438,-27.921,22.644,-45.438,27.079,25.644,-47.438
s0772,GT,-83.197,18.253,53.088,77.803,14.153,62.988,-18.197,-47.747,55.088,9.903,-51.747,56.988,-30.197,-42.747,-22.112,33.803,-42.747,-19.112,-26.197,34.253,-49.112,33.803,32.253,-43.112
s0726,GT,-84.002,0.718,48.538,77.998,9.718,54.538,-8.002,-50.282,45.538,8.998,-50.282,45.538,-36.002,-31.282,-22.662,43.998,-28.282,-19.662,-39.002,32.718,-37.662,34.998,34.718,-34.662
